Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
25,0,pairwise,2,1921.8459777832031,37,3,0,0,0,0,0
25,0,pairwise,2,1928.3406689167023,37,4,0,0,0,0,0
25,0,pairwise,2,1939.9694499969482,37,5,0,0,0,0,0
25,0,pairwise,2,1946.4980039596558,37,8,0,0,0,0,0
25,0,pairwise,2,1952.8156390190125,38,8,0,0,0,0,0
25,0,pairwise,2,1960.3295288085938,40,2,0,0,0,0,0
25,0,pairwise,2,1967.647323846817,43,2,0,0,0,0,0
25,0,pairwise,2,1973.7274041175842,43,3,0,0,0,0,0
25,0,pairwise,2,1980.066927909851,43,5,0,0,0,0,0
25,0,pairwise,2,1986.7806358337402,45,4,0,0,0,0,0
25,0,pairwise,2,1998.6017138957977,48,0,0,0,0,0,0
25,0,pairwise,2,2010.0739629268646,48,1,0,0,0,0,0
25,0,pairwise,2,2021.5809428691864,48,2,0,0,0,0,0
25,0,pairwise,2,2033.1445319652557,48,3,0,0,0,0,0
25,0,pairwise,2,2044.9760158061981,48,4,0,0,0,0,0
25,0,pairwise,2,2056.495390892029,48,5,0,0,0,0,0
25,0,pairwise,2,2068.010372877121,48,6,0,0,0,0,0
25,0,pairwise,2,2079.6989619731903,48,7,0,0,0,0,0
25,0,pairwise,2,2086.29021692276,49,7,0,0,0,0,0
25,0,pairwise,4,2094.5133340358734,0,0,1,1.0,1.0,1.0,0
25,0,pairwise,4,2102.921205997467,0,1,0,0,0,0,0
25,0,pairwise,4,2111.406818151474,0,2,0,0,0,0,0
25,0,pairwise,4,2119.8802020549774,0,5,0,0,0,0,0
25,0,pairwise,4,2128.049570083618,0,6,0,0,0,0,0
25,0,pairwise,4,2136.3079438209534,0,8,1,1.0,1.0,1.0,0
25,0,pairwise,4,2142.326789855957,5,2,0,0,0,0,0
25,0,pairwise,4,2146.8301289081573,5,7,0,0,0,0,0
25,0,pairwise,4,2151.905574798584,7,4,0,0,0,0,0
